Time,Range,Vel,Lat_nominal,Lon_nominal,Alt_nominal,Alt_90km,Lat_90km,Lon_90km
229.4,132.4,1114.7,66.313499,-147.258118,381.9,89.18353865817082,66.81889107662795,-146.89338097566196
229.5,132.5,1114.0,66.314041,-147.258011,382.0,89.26637029663638,66.81944005528095,-146.89326449079354
229.6,132.5,1113.3,66.314583,-147.257904,382.1,89.3492007498671,66.81998903435898,-146.89314800491124
229.7,132.6,1112.6,66.315125,-147.257797,382.2,89.43203001778656,66.82053801386215,-146.89303151801505
229.8,132.6,1111.8,66.315674,-147.25769,382.3,89.51469813663336,66.82109406053338,-146.89291486326618
229.9,132.7,1111.1,66.316216,-147.257584,382.4,89.59752899558177,66.8216430397389,-146.892799383066
230.0,132.8,1110.4,66.316757,-147.257462,382.4,89.58467984368896,66.82218933898845,-146.8926634223729
230.1,132.8,1109.7,66.317307,-147.257355,382.5,89.66732168832358,66.82274639643434,-146.8925467410187
230.2,132.9,1109.0,66.317848,-147.257248,382.6,89.75016804738316,66.82329436848428,-146.89243027318213
230.3,132.9,1108.3,66.31839,-147.257141,382.7,89.83299036355554,66.82384335049542,-146.8923137804933
230.4,133.0,1107.6,66.318939,-147.257034,382.8,89.91565145758221,66.82439939969804,-146.89219711989847
230.5,133.1,1106.9,66.319481,-147.256927,382.9,89.99847138918325,66.82494838256365,-146.8920806251719
230.6,133.1,1106.1,66.320023,-147.256821,383.0,89.99506930083935,66.82564607822268,-146.89185356140158
230.7,133.2,1105.4,66.320572,-147.256714,383.1,89.99149172508096,66.82635084636617,-146.89162531234996
230.8,133.3,1104.7,66.321114,-147.256592,383.2,89.98800320205928,66.8270485695585,-146.8913820895896
230.9,133.3,1104.0,66.321655,-147.256485,383.3,89.98458592010964,66.827745270394,-146.89115401228003
231.0,133.4,1103.3,66.322197,-147.256378,383.3,89.97174862094161,66.82829257116092,-146.8910331343259
231.1,133.4,1102.6,66.322746,-147.256271,383.4,89.96813197224691,66.82899735477274,-146.8908048513596
231.2,133.5,1101.9,66.323288,-147.256165,383.5,89.96466825754493,66.82969507487988,-146.89057773476816
231.3,133.6,1101.2,66.32383,-147.256042,383.6,89.96112541767764,66.83039281917785,-146.89033345981264
